Author|Title|urlFileName|urlLyric
The Ed Sullivan Show|"The Kim Sisters & The Kim Brothers ""Little Darling"" on The Ed Sullivan Show"|https://www.youtube.com/watch?v=hEnl1n5S-lA|https://www.streetdirectory.com/lyricadvisor/song/coccof/little_darlin/
Los Bravos|Black Is Black (FELIZ AÑO 1967 (ACTUACIÓN TVE))|https://www.youtube.com/watch?v=LkgyV_tTQfQ|https://www.streetdirectory.com/lyricadvisor/song/wfeell/black_is_black/
Imagine Dragons|Radioactive|https://www.youtube.com/watch?v=ktvTqknDobU|https://genius.com/Imagine-dragons-radioactive-lyrics
The Spiritual Machines |Couldn't Stop Caring|https://www.youtube.com/watch?v=ouxV3RewC5E|https://www.lyrics.com/lyric-lf/139515/The+Spiritual+Machines
Youngblood Hawke|We Come Running|https://www.youtube.com/watch?v=6ECw5DTULQ8|https://genius.com/Youngblood-hawke-we-come-running-lyrics
Tom Odell|Can't Pretend|https://www.youtube.com/watch?v=dUmtXzuSGu8|https://genius.com/Tom-odell-cant-pretend-lyrics
RAIGN|Empire Of Our Own|https://www.youtube.com/watch?v=mwP0BquR_C8|https://www.azlyrics.com/lyrics/raign/empireofourown.html
RAIGN|Knocking On Heavens Door|https://www.youtube.com/watch?v=mknLaFJZ4v4|https://genius.com/Raign-knockin-on-heavens-door-lyrics
Shawn Mendes|Add It Up|https://www.youtube.com/watch?v=yiO6lTMcGuI|https://genius.com/Shawn-mendes-add-it-up-lyrics
Lamp17|"The 100 - Grounder anthem Lyrics - ""Take A Life With Me"""|https://www.youtube.com/watch?v=iJWFiHcbHzg|https://genius.com/Julia-dominczak-take-a-life-with-me-grounder-anthem-lyrics
Of Monsters and Men|Thousand Eyes|https://www.youtube.com/watch?v=wylkSUS9Ofs|https://genius.com/Of-monsters-and-men-thousand-eyes-lyrics
Algiers|Remains|https://www.youtube.com/watch?v=_o-iLl96AwI|https://genius.com/Algiers-remains-lyrics
Zornitsa Stoyanova|Elias – Cloud|https://www.youtube.com/watch?v=35CPdslDShM|https://genius.com/Elias-sahlin-cloud-lyrics
Whitney|No Matter Where We Go (Official Video)|https://www.youtube.com/watch?v=SN-9ZAr2ePQ|https://genius.com/Whitney-no-matter-where-we-go-lyrics
RY X|Deliverance|https://www.youtube.com/watch?v=Es4THnMzefA|https://genius.com/Ry-x-deliverance-lyrics
The Boomtown Rats|I Don't Like Mondays|https://www.youtube.com/watch?v=-Kobdb37Cwc|https://genius.com/The-boomtown-rats-i-dont-like-mondays-lyrics
Jim James|State Of The Art (A.E.I.O.U.)|https://www.youtube.com/watch?v=mUYf2yu78Ts|https://www.lyrics.com/lyric/35828872/Jim+James/State+of+the+Art
AWOLNATION|Kill Your Heroes|https://www.youtube.com/watch?v=Q_H77Ledl_I|https://genius.com/Awolnation-kill-your-heroes-lyrics
Ron Gallo|Young Lady, You're Scaring Me|https://www.youtube.com/watch?v=m3yqgRyHkSU|https://genius.com/Ron-gallo-young-lady-youre-scaring-me-lyrics
Jake Houlsby|Howl|https://www.youtube.com/watch?v=wG3uSWD2yuE|https://genius.com/Jake-houlsby-howl-lyrics
Engelbert Humperdinck|Love Me With All Of Your Heart|https://www.youtube.com/watch?v=buMcwyztOp0|https://genius.com/Engelbert-humperdinck-love-me-with-all-your-heart-lyrics
Engelbert Humperdinck|Spanish Eyes|https://www.youtube.com/watch?v=kZ8AJeeoxSA|https://www.letras.com/humperdinck-engelbert/671401/
zaman Musica|something' stupid - frank and Nancy sinatra|https://www.youtube.com/watch?v=8OFnMa84aSk|https://www.letras.com/frank-sinatra/36442/
Engelbert Humperdinck|The Way It Used To Be|https://www.youtube.com/watch?v=9CcOhE2qHzQ|https://www.letras.com/humperdinck-engelbert/666728/
Tom Jones|Green Green Grass Of Home|https://www.youtube.com/watch?v=vM_7msjCtYw|https://www.letras.com/tom-jones/20226/
Tom Jones|I'll never fall in love again|https://www.youtube.com/watch?v=QuB-zmBUJcI|https://www.letras.com/tom-jones/234965/
Elvis Presley|Welcome To My World (Aloha From Hawaii, Live in Honolulu, 1973)|https://www.youtube.com/watch?v=MSLO5kZvCf4|https://genius.com/Elvis-presley-welcome-to-my-world-lyrics
BOBBY GOLDSBORO|HONEY|https://www.youtube.com/watch?v=rZiEY3O-FWk|https://genius.com/Bobby-goldsboro-honey-lyrics
The Platters|Smoke Get In Your Eyes - Lyrics|https://www.youtube.com/watch?v=vfBboBz3yoc|https://genius.com/The-platters-smoke-gets-in-your-eyes-lyrics
Dusty Country|Rhythm of the Rain – The Cascades - Classic Country Music Cover|https://www.youtube.com/watch?v=RILWzdawUWQ|https://genius.com/The-cascades-rhythm-of-the-rain-lyrics
Barrett Stone|Honky Tonk Women – The Rolling Stones - Classic Slow Rock & Blues Rock - BARRET STONE|https://www.youtube.com/watch?v=g71PB-yaEjY&list=PLKQE6oFASs_jddhIntAE9FtDAcw98awOy&pp=iAQB8AUB|https://genius.com/Guns-n-roses-sweet-child-o-mine-lyrics
Guns N' Roses|Sweet Child O' Mine|https://www.youtube.com/watch?v=1w7OgIMMRc4|https://genius.com/Guns-n-roses-sweet-child-o-mine-lyrics
The Police|Every Breath You Take|https://www.youtube.com/watch?v=OMOGaugKpzs|https://genius.com/The-police-every-breath-you-take-lyrics
Foreigner|I Want To Know What Love Is|https://www.youtube.com/watch?v=r3Pr1_v7hsw|https://www.letras.com/foreigner/111143/
